parent_category,category,subcategory,item_name,price_inr,type,prep_minutes,confidence,source_board,verified
FOOD,South Indian,Dosa,Plain Dosa,35,cooked,6,HIGH,Main Menu Board A,YES
FOOD,South Indian,Dosa,Butter Dosa,45,cooked,6,HIGH,Main Menu Board A,YES
FOOD,South Indian,Dosa,Masala Dosa,50,cooked,7,HIGH,Main Menu Board A,YES
FOOD,South Indian,Dosa,Mysore Masala Dosa,70,cooked,8,HIGH,Main Menu Board A,YES
FOOD,South Indian,Dosa,Cheese Masala Dosa,80,cooked,8,HIGH,Main Menu Board A,YES
FOOD,South Indian,Dosa,Sada Dosa,30,cooked,5,HIGH,Main Menu Board A,YES
FOOD,South Indian,Dosa,Rava Sada Dosa,50,cooked,8,MEDIUM,Main Menu Board A (glare),YES
FOOD,South Indian,Dosa,Rava Masala Dosa,65,cooked,9,MEDIUM,Main Menu Board A,YES
FOOD,South Indian,Dosa,Cheese Chilli Dosa,85,cooked,8,HIGH,Special Board,YES
FOOD,South Indian,Uttappa,Plain Uttappa,45,cooked,7,HIGH,Main Menu Board A,YES
FOOD,South Indian,Uttappa,Onion Uttappa,55,cooked,8,HIGH,Main Menu Board A,YES
FOOD,South Indian,Uttappa,Tomato Onion Uttappa,60,cooked,8,HIGH,Main Menu Board A,YES
FOOD,South Indian,Uttappa,Cheese Onion Uttappa,75,cooked,8,HIGH,Main Menu Board A,YES
FOOD,South Indian,Quick,Idli Sambhar (2 pcs),40,cooked,3,HIGH,Main Menu Board A,YES
FOOD,South Indian,Quick,Medu Vada Sambhar (2 pcs),45,cooked,4,HIGH,Main Menu Board A,YES
FOOD,South Indian,Quick,Idli Vada Combo,45,cooked,3,HIGH,Main Menu Board A,YES
FOOD,Sandwiches,Plain,Veg Sandwich,35,instant,0,HIGH,Snack Counter B,YES
FOOD,Sandwiches,Plain,Veg Cheese Sandwich,55,instant,0,HIGH,Snack Counter B,YES
FOOD,Sandwiches,Toast,Veg Toast Sandwich,45,cooked,5,HIGH,Snack Counter B,YES
FOOD,Sandwiches,Toast,Veg Cheese Toast Sandwich,60,cooked,6,HIGH,Snack Counter B,YES
FOOD,Sandwiches,Toast,Bombay Masala Toast,60,cooked,6,HIGH,Snack Counter B,YES
FOOD,Sandwiches,Toast,Cheese Masala Toast,75,cooked,6,HIGH,Snack Counter B,YES
FOOD,Sandwiches,Grill,Veg Grilled Sandwich,65,cooked,7,HIGH,Snack Counter B,YES
